Id,Name,Url Mask,SKU(Unique),Product Type,Combinations,Default category(id),Other Categories(comma seperated id),Brand Id,Price,Offer price,Price Unit,Cost of Product,Current inventory,Min Quantity to Sell,Max Quantity to Sell,Low stock level,Position,Status,SEO title,SEO keywords,Seo description,Default image,Other images,Short desc,Description
,Surf Excel Easy Wash,surf-excel-easy-wash,SURF-EXCEL-EASYWASH-100,standard,,4,27,,10,9,100gm,8.5,100,1,10,3,,A,Surf Excel Easy Wash | Tough Stain Removal,"Surf Excel, Easy Wash, Detergent, Stain Removal, Laundry",Detergent for tough stain removal and bright clothes,surf-excel-easy-wash.jpg,,Detergent for tough stain removal,"<section> <h3>Surf Excel Easy Wash</h3> <p>Surf Excel Easy Wash Powder is designed to remove tough stains effortlessly while keeping clothes soft and fresh. Its superfine detergent particles dissolve quickly, allowing deep cleaning without hard scrubbing. Perfect for both machine and hand wash.</p> <ul> <li>Superfine powder formula – dissolves easily, no residue left behind</li> <li>Powerful stain removal – mud, ink, oil, and food stains</li> <li>No hard scrubbing required – penetrates fabric fibers</li> <li>Long-lasting fresh fragrance – keeps clothes smelling great</li> <li>Safe for all fabrics – everyday wear, bedsheets, curtains</li> </ul> <p><strong>How to use:</strong> Add recommended quantity to wash cycle or dissolve in water for hand wash.</p> </section>"
,Sunlight Detergent Powder,sunlight-detergent-powder,SUNLIGHT-DET-PWDR-100,standard,,4,27,,10,9,90gm,8.5,100,1,10,3,,A,Sunlight Detergent Powder | Bright Clothes & Fresh Fragrance,"Sunlight, Detergent Powder, Bright Clothes, Fresh Fragrance",Gentle detergent for bright clothes and freshness,sunlight-detergent-powder.jpg,,Gentle detergent for bright clothes,"<section> <h3>Sunlight Detergent Powder</h3> <p>Sunlight Detergent Powder keeps clothes fresh, bright, and stain-free. With color-care technology, it protects fabric from fading while removing dirt, oil, and sweat. Its quick-dissolve formula ensures no residue.</p> <ul> <li>Color-care technology – maintains vibrancy</li> <li>Powerful stain removal – dirt, sweat, oil</li> <li>Quick dissolve – works in cold and warm water</li> <li>Long-lasting fragrance – fresh all day</li> <li>Gentle on fabrics – cotton, synthetics, delicates</li> </ul> </section>"
,Godrej Ezee Liquid Detergent,godrej-ezee-liquid-detergent,GODREJ-EZEE-LIQ-100,standard,,4,27,,120,108,Pc,102,100,1,10,3,,A,Godrej Ezee Liquid Detergent | Wool & Delicate Care,"Godrej, Ezee, Liquid Detergent, Wool Care, Delicate Wash",Liquid detergent for woolens and delicate fabrics,godrej-ezee-liquid-detergent.jpg,,Liquid detergent for woolens and delicate fabrics,"<section> <h3>Godrej Ezee Liquid Detergent</h3> <p>Godrej Ezee is specially designed for woolens and delicate fabrics. Its pH-neutral, no-soda formula prevents damage and keeps clothes soft and fresh.</p> <ul> <li>pH neutral – prevents shrinkage</li> <li>No soda formula – safe for woolens and silks</li> <li>Micro conditioner – keeps clothes soft</li> <li>Mild fragrance – long-lasting freshness</li> </ul> </section>"
,Gota Jeera (Whole Cumin Seeds),gota-jeera-whole-cumin-seeds,GOTA-JEERA-100,standard,,1,14,,45,35,100gm,25,100,1,10,3,,A,Gota Jeera Whole Cumin Seeds | Authentic Flavor,"Gota Jeera, Whole Cumin, Seeds, Spice, Cooking",Whole cumin seeds for authentic flavor,gota-jeera-whole-cumin-seeds.jpg,,Whole cumin seeds for authentic flavor,"<section> <h3>Gota Jeera Whole Cumin Seeds</h3> <p>Whole cumin seeds add authentic flavor and aroma to curries, dals, and rice. Rich in essential oils, they enhance taste and digestion.</p> <ul> <li>100% natural cumin seeds</li> <li>Rich earthy flavor</li> <li>Supports digestion and immunity</li> <li>Versatile use – Indian and global cuisines</li> </ul> </section>"
,Red Chilly Whole (Gota Sukno Lonka),red-chilly-whole-gota-sukno-lonka,RED-CHILLY-WHOLE-100,standard,,1,14,,20,14,50gm,12,100,1,10,3,,A,Red Chilly Whole (Gota Sukno Lonka) | Traditional Spice Heat,"Red Chilly, Whole, Spice, Sukno Lonka, Cooking",Whole red chilies for traditional spice heat,red-chilly-whole-gota-sukno-lonka.jpg,,Whole red chilies for traditional spice heat,"<section> <h3>Red Chilly Whole (Gota Sukno Lonka)</h3> <p>Sun-dried whole red chilies deliver fiery heat and rich aroma. Perfect for tempering curries, dals, pickles, and chutneys.</p> <ul> <li>Natural dried red chilies</li> <li>Rich flavor and aroma</li> <li>High in antioxidants</li> <li>Long shelf life</li> </ul> </section>"
,Panchforon,panchforon,PANCHFORON-100,standard,,1,14,,15,12,50gm,11,100,1,10,3,,A,Panchforon | Bengali Five Spice Mix,"Panchforon, Bengali Spice, Five Spice, Cooking",Traditional Bengali five-spice blend,panchforon.jpg,,Traditional Bengali five-spice blend,"<section> <h3>Panchforon</h3> <p>Panchforon is a traditional Bengali five-spice blend made of fennel, cumin, nigella, fenugreek, and mustard seeds. Adds depth and balance to curries and stir-fries.</p> <ul> <li>Authentic five-spice blend</li> <li>Rich aroma and flavor</li> <li>Supports digestion</li> <li>Versatile use – tempering, pickling</li> </ul> </section>"
,Clove (Lobongo),clove-lobongo,CLOVE-25,standard,,1,14,,35,0,25gm,30,100,1,10,3,,A,Clove (Lobongo) | Aromatic Spice,"Clove, Lobongo, Spice, Aromatic, Cooking",Aromatic spice for flavor and health,clove-lobongo.jpg,,Aromatic spice for flavor and health,"<section> <h3>Clove (Lobongo)</h3> <p>Clove is a highly aromatic spice used in curries, biryanis, teas, and desserts. Known for medicinal properties like aiding digestion and soothing toothaches.</p> <ul> <li>100% natural whole cloves</li> <li>Warm pungent flavor</li> <li>Supports immunity</li> <li>Essential for garam masala and chai</li> </ul> </section>"
,Posto (poppy Seeds),posto-poppy-seeds,POSTO-25,standard,,1,14,,49,0,25gm,45,100,1,10,3,,A,Posto (Poppy Seeds) | Premium Cooking Ingredient,"Posto, Poppy Seeds, Cooking, Premium, Nutty Flavor",Premium poppy seeds for cooking and flavor,posto-poppy-seeds.jpg,,Premium poppy seeds for cooking,"<section> <h3>Posto (Poppy Seeds)</h3> <p>Posto is a staple in Bengali cooking, prized for its nutty flavor and creamy texture. Used in dishes like Aloo Posto and Posto Bora.</p> <ul> <li>Natural white poppy seeds</li> <li>Nutty flavor</li> <li>Rich in calcium and iron</li> <li>Supports digestion and relaxation</li> </ul> </section>"
,Elichi (Green Cardamom),elichi-green-cardamom,ELICHI-25,standard,,1,14,,99,0,25gm,95,100,1,10,3,,A,Elichi Green Cardamom | Aromatic Pods,"Elichi, Green Cardamom, Pods, Spice, Aromatic",Aromatic green cardamom pods for cooking,elichi-green-cardamom.jpg,,Aromatic green cardamom pods,"<section> <h3>Elichi (Green Cardamom)</h3> <p>Green cardamom is celebrated for its sweet aroma and flavor. Used in curries, biryanis, desserts, and teas.</p> <ul> <li>Natural green cardamom pods</li> <li>Sweet floral notes</li> <li>Supports digestion and freshens breath</li> <li>Essential for masala chai and sweets</li> </ul> </section>"
,Sahi Jeera,sahi-jeera,SAHI-JEERA-25,standard,,1,14,,28,0,25gm,26,100,1,10,3,,A,Sahi Jeera | Premium Cumin Seeds,"Sahi Jeera, Cumin, Premium, Spice, Cooking",Premium cumin seeds for authentic dishes,sahi-jeera.jpg,,Premium cumin seeds for authentic dishes,"<section> <h3>Sahi Jeera</h3> <p>Sahi Jeera is a premium cumin variety with a delicate flavor, perfect for rich curries and biryanis.</p> <ul> <li>Premium cumin seeds</li> <li>Delicate aroma</li> <li>Enhances authentic dishes</li> <li>Long shelf life</li> </ul> </section>"
,Big Elichi (Big Cardamon),big-elichi,BIG-CARDAMOM-25,standard,,1,14,,59,0,25gm,52,100,1,10,3,,A,Big Elichi (Black Cardamom) | Smoky Flavor Pods,"Big Cardamom, Black Cardamom, Smoky Flavor, Pods, Spice",Smoky black cardamom pods for rich flavor,big-elichi.jpg,,Smoky black cardamom pods,"<section> <h3>Big Elichi (Black Cardamom)</h3> <p>Big Elichi, also known as black cardamom, is valued for its smoky aroma and bold flavor. Commonly used in biryanis, curries, and spice blends, it adds depth and warmth to savory dishes.</p> <ul> <li>Smoky flavor pods – enhance curries and rice dishes</li> <li>Rich aroma – adds depth to spice blends</li> <li>Supports digestion and immunity</li> <li>Essential for garam masala and festive cooking</li> </ul> </section>"
,Star Anise,star-anise,STAR-ANISE-10,standard,,1,14,,14,0,10gm,,100,1,10,3,,A,Star Anise | Exotic Spice with Licorice Flavor,"Star Anise, Exotic Spice, Licorice Flavor, Cooking",Exotic spice with licorice flavor,star-anise.jpg,,Exotic spice with licorice flavor,"<section> <h3>Star Anise</h3> <p>Star Anise is an exotic spice with a distinct licorice flavor. Widely used in Asian cuisine, it enhances soups, stews, and spice blends with its aromatic notes.</p> <ul> <li>Exotic spice – licorice flavor</li> <li>Rich aroma – perfect for curries and broths</li> <li>Supports digestion and metabolism</li> <li>Versatile use – Indian, Chinese, and global cuisines</li> </ul> </section>"
,Golap papri (Rose Petal Dry),rose-petal-dry,ROSE-PETAL-DRY-10,standard,,1,14,,9,0,10gm,,100,1,10,3,,A,Rose Petal Dry | Natural Flavoring & Garnish,"Rose Petal Dry, Natural Flavoring, Garnish, Cooking",Natural dried rose petals for flavoring and garnish,rose-petal-dry.jpg,,Natural dried rose petals for garnish,"<section> <h3>Rose Petal Dry</h3> <p>Dried rose petals are used as a natural flavoring and garnish in desserts, teas, and festive recipes. They add a subtle floral aroma and enhance presentation.</p> <ul> <li>Natural dried rose petals</li> <li>Delicate floral aroma</li> <li>Perfect for sweets, teas, and garnishes</li> <li>Long shelf life when stored properly</li> </ul> </section>"
,Sada Til (white sesame seeds),white-sesame-seeds,SESAME-50,standard,,1,14,,16,0,50gm,,100,1,10,3,,A,White Sesame Seeds | Nutty Flavor for Cooking,"White Sesame, Seeds, Nutty Flavor, Cooking",Nutty white sesame seeds for cooking,white-sesame-seeds.jpg,,Nutty white sesame seeds for cooking,"<section> <h3>White Sesame Seeds</h3> <p>White sesame seeds are prized for their nutty flavor and crunchy texture. Used in breads, sweets, and curries, they are also rich in calcium and healthy oils.</p> <ul> <li>Nutty flavor – enhances cooking</li> <li>Rich in calcium and minerals</li> <li>Versatile use – breads, sweets, curries</li> <li>Supports bone health and digestion</li> </ul> </section>"
,Gol Morich (Black Pepper),black-pepper,BLACK-PEPPER-25,standard,,1,14,,32,0,25gm,,100,1,10,3,,A,Black Pepper | Premium Whole Spice,"Black Pepper, Whole Spice, Premium, Cooking",Premium whole black pepper spice,black-pepper.jpg,,Premium whole black pepper spice,"<section> <h3>Black Pepper</h3> <p>Black pepper is a staple spice known for its pungent flavor and aroma. It enhances taste in curries, soups, and marinades while offering health benefits.</p> <ul> <li>Premium whole black pepper</li> <li>Pungent flavor – versatile seasoning</li> <li>Supports digestion and immunity</li> <li>Essential for spice blends and everyday cooking</li> </ul> </section>"
,Sunrise Hing,sunrise-hing,HING-25,standard,,1,14,,50,45,25gm,40,100,1,10,3,,A,Sunrise Hing | Authentic Indian Spice,"Sunrise, Hing, Spice, Authentic, Cooking",Authentic Indian hing for cooking,sunrise-hing.jpg,,Authentic hing for cooking,"<section> <h3>Sunrise Hing</h3> <p>Sunrise Hing is an authentic Indian spice used to add a strong aroma and flavor to dals, curries, and pickles. Known for its digestive properties.</p> <ul> <li>Authentic hing – strong aroma</li> <li>Supports digestion</li> <li>Enhances flavor in dals and curries</li> <li>Traditional Indian spice</li> </ul> </section>"
,Sunrise Kasuri Methi,sunrise-kasuri-methi,KASURI-METHI-25,standard,,1,14,,27,25,25gm,22,100,1,10,3,,A,Sunrise Kasuri Methi | Dried Fenugreek Leaves,"Sunrise, Kasuri Methi, Fenugreek, Dried Leaves, Spice",Dried fenugreek leaves for authentic flavor,sunrise-kasuri-methi.jpg,,Dried fenugreek leaves for flavor,"<section> <h3>Sunrise Kasuri Methi</h3> <p>Dried fenugreek leaves add a unique aroma and flavor to curries, parathas, and gravies. Sunrise Kasuri Methi is a staple for authentic Indian cooking.</p> <ul> <li>Dried fenugreek leaves – aromatic flavor</li> <li>Enhances curries and breads</li> <li>Supports digestion and wellness</li> <li>Essential for Indian cuisine</li> </ul> </section>"
,Magaj (Melon Seeds),magaj,MAGAJ-100,standard,,1,14,,72,0,100gm,,100,1,10,3,,A,Magaj | Nutty Seeds for Sweets,"Magaj, Nutty Seeds, Sweets, Cooking",Nutty seeds used in sweets,magaj.jpg,,Nutty seeds used in sweets,<section> <h3>Magaj</h3> <p>Magaj seeds are used in Indian sweets and snacks for their nutty flavor and texture. They are rich in nutrients and add crunch to recipes.</p> <ul> <li>Nutty seeds – perfect for sweets</li> <li>Rich in protein and minerals</li> <li>Enhances laddoos and festive dishes</li> <li>Long shelf life when stored properly</li> </ul> </section>
,Mouri (Fennel Seeds),mouri,MOURI-50,standard,,1,14,,20,0,50gm,,100,1,10,3,,A,Mouri (Fennel Seeds) | Aromatic Digestive Spice,"Mouri, Fennel Seeds, Aromatic, Digestive, Spice",Aromatic fennel seeds for digestion,mouri.jpg,,Aromatic fennel seeds for digestion,"<section> <h3>Mouri (Fennel Seeds)</h3> <p>Mouri, or fennel seeds, are aromatic and slightly sweet. Used in curries, teas, and as a mouth freshener, they aid digestion and add flavor.</p> <ul> <li>Aromatic fennel seeds</li> <li>Slightly sweet flavor</li> <li>Supports digestion and freshens breath</li> <li>Versatile use – curries, teas, snacks</li> </ul> </section>"
,Methi (Fenugreek seeds),methi,METHI-50,standard,,1,14,,7,0,50gm,,100,1,10,3,,A,Methi (Fenugreek Seeds) | Healthy Cooking Spice,"Methi, Fenugreek Seeds, Healthy, Cooking, Spice",Healthy fenugreek seeds for cooking,methi.jpg,,Healthy fenugreek seeds for cooking,"<section> <h3>Methi (Fenugreek Seeds)</h3> <p>Methi seeds are a staple spice in Indian cooking, known for their bitter flavor and health benefits. Used in curries, pickles, and spice blends.</p> <ul> <li>Natural fenugreek seeds</li> <li>Bitter flavor – enhances curries</li> <li>Supports blood sugar control and digestion</li> <li>Essential for spice mixes and pickles</li> </ul> </section>"
,Dalchini (Cinnamon),dalchini,CINNAMON-25,standard,,1,14,,10,0,25gm,,100,1,10,3,,A,Dalchini (Cinnamon) | Aromatic Bark Spice,"Dalchini, Cinnamon, Bark, Aromatic, Spice",Aromatic cinnamon bark spice,dalchini.jpg,,Aromatic cinnamon bark spice,"<section> <h3>Dalchini (Cinnamon)</h3> <p>Dalchini, or cinnamon, is a fragrant bark spice used in curries, desserts, teas, and festive recipes. Its warm aroma and sweet flavor make it a versatile ingredient in Indian and global cuisines.</p> <ul> <li>Natural cinnamon bark – aromatic and flavorful</li> <li>Enhances curries, biryanis, and sweets</li> <li>Supports digestion and wellness</li> <li>Essential for masala chai and festive cooking</li> </ul> </section>"
,Dhania (Coriander seeds),dhania,DHANIA-50,standard,,1,14,,12,0,50gm,,100,1,10,3,,A,Dhania (Coriander Seeds) | Fresh Flavor for Cooking,"Dhania, Coriander Seeds, Fresh Flavor, Cooking",Fresh coriander seeds for cooking,dhania.jpg,,Fresh coriander seeds for cooking,"<section> <h3>Dhania (Coriander Seeds)</h3> <p>Dhania seeds add a fresh, citrusy flavor to curries, dals, and spice blends. They are widely used in Indian cooking and valued for their digestive benefits.</p> <ul> <li>Natural coriander seeds – fresh and aromatic</li> <li>Citrusy flavor – enhances curries and chutneys</li> <li>Supports digestion and immunity</li> <li>Essential for spice blends and pickles</li> </ul> </section>"
,Radhuni,radhuni,RADHUNI-100,standard,,1,14,,18,0,50gm,,100,1,10,3,,A,Radhuni | Traditional Bengali Spice,"Radhuni, Bengali Spice, Traditional, Cooking",Traditional Bengali spice for authentic dishes,radhuni.jpg,,Traditional Bengali spice,"<section> <h3>Radhuni</h3> <p>Radhuni is a traditional Bengali spice with a strong aroma, often used in dals, curries, and pickles. It adds depth and authenticity to regional recipes.</p> <ul> <li>Authentic Bengali spice</li> <li>Strong aroma – enhances dals and curries</li> <li>Supports digestion</li> <li>Essential for traditional Bengali cooking</li> </ul> </section>"
,Tejpata (Bay Leaf),tejpata,BAY-LEAF-100,standard,,1,14,,6,0,50gm,,100,1,10,3,,A,Tejpata (Bay Leaf) | Aromatic Cooking Leaf,"Tejpata, Bay Leaf, Aromatic, Cooking",Aromatic bay leaves for cooking,tejpata.jpg,,Aromatic bay leaves for cooking,"<section> <h3>Tejpata (Bay Leaf)</h3> <p>Tejpata, or bay leaf, is used to add a subtle aroma and flavor to curries, rice, and soups. It is a staple in Indian kitchens for tempering and slow cooking.</p> <ul> <li>Natural bay leaves – aromatic and fresh</li> <li>Enhances curries, rice, and soups</li> <li>Supports digestion and wellness</li> <li>Essential for everyday cooking</li> </ul> </section>"
,Jaifal (Nutmeg),jaifal,NUTMEG-100,standard,,1,14,,32,0,25gm,,100,1,10,3,,A,Jaifal (Nutmeg) | Warm Aromatic Spice,"Jaifal, Nutmeg, Warm, Aromatic, Spice",Warm aromatic nutmeg spice,jaifal.jpg,,Warm aromatic nutmeg spice,"<section> <h3>Jaifal (Nutmeg)</h3> <p>Jaifal, or nutmeg, is a warm aromatic spice used in curries, desserts, and drinks. It adds depth and richness to both sweet and savory dishes.</p> <ul> <li>Natural nutmeg – aromatic and flavorful</li> <li>Enhances curries, sweets, and festive recipes</li> <li>Supports digestion and relaxation</li> <li>Essential for spice blends and baking</li> </ul> </section>"
,Kalojeera,kalojeera,KALONJI-100,standard,,1,14,,17,0,50gm,,100,1,10,3,,A,Kalojeera (Nigella Seeds) | Flavorful Spice,"Kalojeera, Nigella Seeds, Flavorful, Cooking",Flavorful nigella seeds for cooking,kalojeera.jpg,,Flavorful nigella seeds for cooking,"<section> <h3>Kalojeera (Nigella Seeds)</h3> <p>Kalojeera, or nigella seeds, are small black seeds with a pungent flavor. Used in curries, breads, and pickles, they add a distinctive taste and aroma.</p> <ul> <li>Natural nigella seeds – pungent flavor</li> <li>Enhances curries, breads, and pickles</li> <li>Supports digestion and immunity</li> <li>Essential for Bengali and Indian cooking</li> </ul> </section>"
